"","pdat.date","Germany","France","Greece","Ireland","Belgium","Spain","Netherlands","Austria","Cyprus","Estonia","Italy","Latvia","Lithuania","Portugal","Slovenia","Slovak_Rep","Finland"
"3012",2019-07-01,0,0,-0.0455357375711598,-0.00111794372623963,-0.000979911886349161,-0.0730522724251683,0,-0.00154440185137417,-0.000323642089630205,0.000172333664224311,-0.0766308434811211,-0.000205528765604424,-0.00297730085530201,-0.0176487312831601,-0.0013926187064488,-0.00224386108906494,0
"3013",2019-07-02,0,0.00123076938613265,-0.0283316427953446,-0.0191987936426488,0.00781253973679386,-0.0663813656387937,0.00101471343054627,0.00769826742575241,0.000107892335206472,0,-0.0430611408521795,0.000821861731459705,0.000558919541130631,-0.120893511281844,-0.000557786195821919,-0.00199900116541851,0.00101471343054627
"3014",2019-07-03,-0.0289875368732524,-0.0766658817479171,-0.0392044433346079,-0.0017118416230768,-0.00292255444260192,0.108512098762682,-0.00101471343054627,-0.0030721990369702,-0.0015115530314338,0,-0.094117183312636,0,0,-0.039071210240841,0.000139440861892659,0.000249843723926446,-0.00101471343054627
"3015",2019-07-04,-0.0264245036050665,0,-0.00920893908531006,0,-0.000976085973055429,-0.000615337443295783,0.00101471343054627,-0.00153964618559277,-0.000324201691303649,-0.000172333664224311,0.0239386650276039,0,0,-0.000486026977259524,-0.000139440861892659,-0.00050025026061995,0.00101471343054627
"3016",2019-07-05,0.0180562539345503,-0.107872151756929,0.0127053575551672,-0.0342752210172925,-0.0187289851062769,0.0928987157750703,-0.002030457550382,-0.0155282623265551,-0.000432324354426861,-0.000688942619214039,0.0503598075076948,-0.00246761434438314,-0.0020509007003966,-0.00878863293351273,-0.000837053737078541,-0.000250219005489161,-0.00304723445546884
"3017",2019-07-08,-0.0197690144157212,0.224326283563259,-0.0077355091756246,0.00353982670512387,0.0157949976714895,-0.109048135074649,0.00101574411983574,0.0124418401233657,0,0.000344702875480607,0.0118974742819855,0.00185128137852786,0.00167850870909669,0.00732913305901262,0.000837053737078541,-0.00426333041069249,0.00203252102492257
"3018",2019-07-09,0.024896725089036,0,0.00393024437128542,0,-0.000979911886349161,0.015532469937344,0.00101471343054627,0,-0.000648999481946966,0.00223638822124617,0.0120599396359466,0,0,0,-0.000139320838333568,0,0.00101471343054627
"3019",2019-07-10,0.00392657812833752,0.00118133504583096,0.00126439641923959,0.0029403137913957,0.00975617494536474,0.00184847661148124,0.00101368483084618,0.0061633477076688,-0.000216535019595732,-0.00068763982211717,-0.0263334287941177,0.00123228629935346,0.000930999315872594,0.00388776094343735,0.000278761700226227,0,0.00101368483084618
"3020",2019-07-11,0.000783468848224,-0.00118133504583096,-0.0139799326383327,-0.00353000470382714,-0.0127016851751214,-0.00308166653740827,-0.00202839826139245,-0.00925932541279684,0,-0.00103217499117125,-0.0100827225033475,-0.00164318048919343,-0.000930999315872594,-0.00632500438107231,-0.000418380930498508,-0.00125738763137129,-0.00202839826139245
"3021",2019-07-12,-0.0500832171296595,0.00118133504583096,0.0215203383953124,0.00235432854735107,0.0097848138799983,0.0387457665758424,0.00101471343054627,0.00618239990831748,-0.000432994208215298,0.000171959736369409,0.015137667507128,0.00123279243063257,0.000558815326081596,0.042518963662201,0.000139619230272281,0.000251855612333429,0.00101471343054627
"3022",2019-07-15,0.0509638864952531,0,0.0124257822512872,0.0145902877627173,0,-0.0107469723157601,0,0,0.000757616872389733,0.000516217944221076,-0.031888126752853,0.000205112433232291,0,-0.018409780454856,-0.010656439224304,-0.000251855612333429,0
"3023",2019-07-16,-9.78138603016099e-05,-0.00118133504583096,-0.016279400150272,-0.00173905574099997,-0.0842710437830578,-0.0120774487830957,-0.00101471343054627,-0.00463321292148811,-0.000757616872389733,0.00103163713269794,0.0115131994233462,-0.00123253943962931,-0.000931718831418848,-0.0226461244420713,-0.00254058041247784,-0.000503398073403272,-0.00101471343054627
"3024",2019-07-17,-9.78234287893898e-05,0.00236127618567972,-0.000766609559508247,0.00289771283607143,0.012631746905901,0.0132772096947127,0.00202839826139245,0.00771013842596746,-0.000324868736938377,-0.000859451686999968,-0.0850084670996285,0,-0.00429607500158546,0.0240743567382835,0.00408998582835274,0,0.00101471343054627
"3025",2019-07-18,-0.0127001460893656,0,-0.0218019446513962,0.0017346058122083,0.00625653761430511,0.0921441182457312,0,0.00459770924862934,0.000216590884169143,0,0.0027404677313525,0,0.000186991127076652,-0.0158238812792417,-0.00211342130279757,-0.000251794097212432,0.00101368483084618
"3026",2019-07-19,-0.00556384942505872,-0.0874402854242557,0.00962194953554008,-0.00405268399914283,-0.016771881613828,-0.00328532696519712,-0.00202839826139245,-0.0107610569562981,-0.000108181282697295,-0.000860363126288455,0.05706328071998,0,-0.000936242168611656,-0.00727629078668057,0,0.000251794097212432,-0.00202839826139245
"3027",2019-07-22,-0.0260410355015255,0.00128617381074436,0.00267508540461314,0.00173862793064883,0.00842110239640803,0.00164373883097468,0.00202839826139245,0.0061633477076688,0.000541330603811119,0.000860363126288455,0.0110320843657394,0.00123253943962931,0.00112338546234447,0.00291687271314789,0.00281690366786069,0.00226354959762176,0.00202839826139245
"3028",2019-07-23,0.0247449882636288,-0.0664254759817058,-0.0248649143400854,0.00692501524656786,-0.00104876779408425,-0.0283268116001216,-0.0132587357909464,0.0182653479772932,-0.000649740205282967,0.00137487142445103,-0.0185996888667495,-0.000410677708169604,-0.000187143293732817,-0.000971345861388251,0.000702987825504486,-0.000753863586399728,-0.025655588767775
