Date,AT,BE,CY,FI,FR,DE,GR,IE,IT,LT,NL,PT,SK,SI,ES,LV
2010-06-15,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-16,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-17,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-18,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-21,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-22,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-23,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-24,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-25,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,
2010-06-28,89.47,135.5,,36.27,97.9,46.72,,242.15,174.0,,54.1,272.93,,,227.5,
2010-06-29,91.27,146.2,,36.58,99.5,47.74,,245.0,186.0,,53.56,274.93,,,230.5,
2010-06-30,94.0,146.28,,38.71,98.16,48.16,,240.07,179.5,288.61,52.38,247.5,100.29,,222.5,368.32
2010-07-01,91.45,142.94,,37.41,91.28,47.75,,225.0,171.5,,51.49,250.0,,,225.0,
2010-07-02,91.21,137.59,,37.63,89.1,46.89,,236.09,169.0,,51.08,255.65,,,225.0,
2010-07-05,91.44,133.35,,37.8,85.6,46.99,,224.59,170.44,,51.63,243.9,,,225.32,
2010-07-06,92.42,132.73,,37.19,90.88,47.04,,225.58,169.61,,51.2,247.18,,,229.05,
2010-07-07,93.34,132.21,,36.85,91.55,47.37,,223.46,168.28,,51.52,245.65,,,224.31,
2010-07-08,88.0,118.5,,37.0,86.33,44.5,,256.5,151.0,,49.5,256.0,,,221.0,
2010-07-09,84.0,105.0,,34.0,85.0,43.5,,204.0,158.5,,46.5,222.5,,,197.5,
2010-07-12,84.25,114.93,,34.24,84.44,44.1,,207.14,165.41,,48.67,237.64,,,197.21,
2010-07-13,83.0,106.5,,33.5,84.0,44.0,,200.0,166.5,,48.0,236.5,,,192.5,
2010-07-14,83.0,108.5,,33.5,82.5,44.0,,202.5,172.5,,49.0,239.0,,,196.5,
2010-07-15,82.5,110.5,,34.0,83.0,44.5,,225.0,173.0,,48.5,247.5,,,195.5,
2010-07-16,83.0,107.0,,33.0,82.0,43.5,,227.5,170.0,,49.0,242.5,,,194.5,
2010-07-19,95.5,113.5,,34.0,86.0,46.5,,235.0,173.0,,50.0,245.0,,,197.5,
2010-07-20,95.0,113.5,,34.0,86.0,46.5,,231.5,168.0,,50.5,240.0,,,193.0,
2010-07-21,92.0,108.0,,34.0,83.0,45.5,,232.5,168.0,,50.5,242.5,,,191.0,
2010-07-22,91.0,105.0,,33.5,83.0,45.5,,227.5,166.0,,50.5,242.5,,,188.5,
2010-07-23,88.0,102.0,,32.0,80.0,46.0,,222.5,161.5,,49.5,230.3,,,189.0,
2010-07-26,84.0,100.0,,31.0,74.0,44.5,,224.5,154.5,247.17,47.0,232.5,92.29,,183.5,324.34
2010-07-27,79.0,93.0,,30.0,66.5,41.0,,198.5,137.0,246.05,44.0,210.0,92.06,,149.0,320.69
2010-07-28,78.0,94.5,,30.0,67.5,41.5,,194.0,132.0,241.33,44.0,200.5,90.95,,169.0,315.58
2010-07-29,80.98,99.12,,30.96,70.63,42.82,,190.69,137.26,238.99,45.96,204.11,89.87,,172.5,313.99
